area_type_code,area_code,area_text,state
F,CN1714900000000,Pike County,IL
F,CN1715100000000,Pope County,IL
F,CN1715300000000,Pulaski County,IL
F,CN1715500000000,Putnam County,IL
F,CN1715700000000,Randolph County,IL
F,CN1715900000000,Richland County,IL
F,CN1716100000000,Rock Island County,IL
F,CN1716300000000,St. Clair County,IL
F,CN1716500000000,Saline County,IL
F,CN1716700000000,Sangamon County,IL
F,CN1716900000000,Schuyler County,IL
F,CN1717100000000,Scott County,IL
F,CN1717300000000,Shelby County,IL
F,CN1717500000000,Stark County,IL
F,CN1717700000000,Stephenson County,IL
F,CN1717900000000,Tazewell County,IL
F,CN1718100000000,Union County,IL
F,CN1718300000000,Vermilion County,IL
F,CN1718500000000,Wabash County,IL
F,CN1718700000000,Warren County,IL
F,CN1718900000000,Washington County,IL
F,CN1719100000000,Wayne County,IL
F,CN1719300000000,White County,IL
F,CN1719500000000,Whiteside County,IL
F,CN1719700000000,Will County,IL
F,CN1719900000000,Williamson County,IL
F,CN1720100000000,Winnebago County,IL
F,CN1720300000000,Woodford County,IL
F,CN1800100000000,Adams County,IN
F,CN1800300000000,Allen County,IN
F,CN1800500000000,Bartholomew County,IN
F,CN1800700000000,Benton County,IN
F,CN1800900000000,Blackford County,IN
F,CN1801100000000,Boone County,IN
F,CN1801300000000,Brown County,IN
F,CN1801500000000,Carroll County,IN
F,CN1801700000000,Cass County,IN
F,CN1801900000000,Clark County,IN
F,CN1802100000000,Clay County,IN
F,CN1802300000000,Clinton County,IN
F,CN1802500000000,Crawford County,IN
F,CN1802700000000,Daviess County,IN
F,CN1802900000000,Dearborn County,IN
F,CN1803100000000,Decatur County,IN
F,CN1803300000000,DeKalb County,IN
F,CN1803500000000,Delaware County,IN
F,CN1803700000000,Dubois County,IN
F,CN1803900000000,Elkhart County,IN
F,CN1804100000000,Fayette County,IN
F,CN1804300000000,Floyd County,IN
F,CN1804500000000,Fountain County,IN
