area_type_code,area_code,area_text,state,display_level,selectable,sort_sequence
F,CN0113100000000,Wilcox County,AL,0,T,92
F,CN0113300000000,Winston County,AL,0,T,93
F,CN0201300000000,Aleutians East Borough,AK,0,T,145
F,CN0201600000000,Aleutians West Census Area,AK,0,T,146
F,CN0202000000000,Anchorage Borough/municipality,AK,0,T,147
F,CN0205000000000,Bethel Census Area,AK,0,T,148
F,CN0206000000000,Bristol Bay Borough,AK,0,T,149
F,CN0206800000000,Denali Borough,AK,0,T,150
F,CN0207000000000,Dillingham Census Area,AK,0,T,151
F,CN0209000000000,Fairbanks North Star Borough,AK,0,T,152
F,CN0210000000000,Haines Borough,AK,0,T,153
F,CN0210500000000,Hoonah-Angoon Census Area,AK,0,T,154
F,CN0211000000000,Juneau Borough/city,AK,0,T,155
F,CN0212200000000,Kenai Peninsula Borough,AK,0,T,156
F,CN0213000000000,Ketchikan Gateway Borough,AK,0,T,157
F,CN0215000000000,Kodiak Island Borough,AK,0,T,158
F,CN0216400000000,Lake and Peninsula Borough,AK,0,T,159
F,CN0217000000000,Matanuska-Susitna Borough,AK,0,T,160
F,CN0218000000000,Nome Census Area,AK,0,T,161
F,CN0218500000000,North Slope Borough,AK,0,T,162
F,CN0218800000000,Northwest Arctic Borough,AK,0,T,163
F,CN0219500000000,Petersburg Census Area,AK,0,T,164
F,CN0219800000000,Prince of Wales-Hyder Census Area,AK,0,T,165
F,CN0220100000000,Prince of Wales-Outer Ketchikan Census Area,AK,0,T,166
F,CN0222000000000,Sitka Borough/city,AK,0,T,167
F,CN0223000000000,Skagway Municipality,AK,0,T,168
F,CN0223200000000,Skagway-Hoonah-Angoon Census Area,AK,0,T,169
F,CN0224000000000,Southeast Fairbanks Census Area,AK,0,T,170
F,CN0226100000000,Valdez-Cordova Census Area,AK,0,T,171
F,CN0227000000000,Wade Hampton Census Area,AK,0,T,172
F,CN0227500000000,Wrangell Borough/city,AK,0,T,173
F,CN0228000000000,Wrangell-Petersburg Census Area,AK,0,T,174
F,CN0228200000000,Yakutat Borough/city,AK,0,T,175
F,CN0229000000000,Yukon-Koyukuk Census Area,AK,0,T,176
F,CN0400100000000,Apache County,AZ,0,T,195
F,CN0400300000000,Cochise County,AZ,0,T,196
F,CN0400500000000,Coconino County,AZ,0,T,197
F,CN0400700000000,Gila County,AZ,0,T,198
F,CN0400900000000,Graham County,AZ,0,T,199
F,CN0401100000000,Greenlee County,AZ,0,T,200
F,CN0401200000000,La Paz County,AZ,0,T,201
F,CN0401300000000,Maricopa County,AZ,0,T,202
F,CN0401500000000,Mohave County,AZ,0,T,203
F,CN0401700000000,Navajo County,AZ,0,T,204
F,CN0401900000000,Pima County,AZ,0,T,205
F,CN0402100000000,Pinal County,AZ,0,T,206
F,CN0402300000000,Santa Cruz County,AZ,0,T,207
F,CN0402500000000,Yavapai County,AZ,0,T,208
F,CN0402700000000,Yuma County,AZ,0,T,209
F,CN0500100000000,Arkansas County,AR,0,T,270
F,CN0500300000000,Ashley County,AR,0,T,271
F,CN0500500000000,Baxter County,AR,0,T,272
F,CN0500700000000,Benton County,AR,0,T,273
F,CN0500900000000,Boone County,AR,0,T,274
F,CN0501100000000,Bradley County,AR,0,T,275
F,CN0501300000000,Calhoun County,AR,0,T,276
F,CN0501500000000,Carroll County,AR,0,T,277
F,CN0501700000000,Chicot County,AR,0,T,278
F,CN0501900000000,Clark County,AR,0,T,279
F,CN0502100000000,Clay County,AR,0,T,280
F,CN0502300000000,Cleburne County,AR,0,T,281
F,CN0502500000000,Cleveland County,AR,0,T,282
F,CN0502700000000,Columbia County,AR,0,T,283
F,CN0502900000000,Conway County,AR,0,T,284
F,CN0503100000000,Craighead County,AR,0,T,285
F,CN0503300000000,Crawford County,AR,0,T,286
F,CN0503500000000,Crittenden County,AR,0,T,287
F,CN0503700000000,Cross County,AR,0,T,288
F,CN0503900000000,Dallas County,AR,0,T,289
F,CN0504100000000,Desha County,AR,0,T,290
F,CN0504300000000,Drew County,AR,0,T,291
F,CN0504500000000,Faulkner County,AR,0,T,292
F,CN0504700000000,Franklin County,AR,0,T,293
F,CN0504900000000,Fulton County,AR,0,T,294
F,CN0505100000000,Garland County,AR,0,T,295
F,CN0505300000000,Grant County,AR,0,T,296
F,CN0505500000000,Greene County,AR,0,T,297
F,CN0505700000000,Hempstead County,AR,0,T,298
F,CN0505900000000,Hot Spring County,AR,0,T,299
F,CN0506100000000,Howard County,AR,0,T,300
F,CN0506300000000,Independence County,AR,0,T,301
F,CN0506500000000,Izard County,AR,0,T,302
F,CN0506700000000,Jackson County,AR,0,T,303
F,CN0506900000000,Jefferson County,AR,0,T,304
F,CN0507100000000,Johnson County,AR,0,T,305
F,CN0507300000000,Lafayette County,AR,0,T,306
F,CN0507500000000,Lawrence County,AR,0,T,307
F,CN0507700000000,Lee County,AR,0,T,308
F,CN0507900000000,Lincoln County,AR,0,T,309
F,CN0508100000000,Little River County,AR,0,T,310
F,CN0508300000000,Logan County,AR,0,T,311
F,CN0508500000000,Lonoke County,AR,0,T,312
F,CN0508700000000,Madison County,AR,0,T,313
F,CN0508900000000,Marion County,AR,0,T,314
F,CN0509100000000,Miller County,AR,0,T,315
F,CN0509300000000,Mississippi County,AR,0,T,316
F,CN0509500000000,Monroe County,AR,0,T,317
F,CN0509700000000,Montgomery County,AR,0,T,318
F,CN0509900000000,Nevada County,AR,0,T,319
F,CN0510100000000,Newton County,AR,0,T,320
F,CN0510300000000,Ouachita County,AR,0,T,321
F,CN0510500000000,Perry County,AR,0,T,322
F,CN0510700000000,Phillips County,AR,0,T,323
F,CN0510900000000,Pike County,AR,0,T,324
F,CN0511100000000,Poinsett County,AR,0,T,325
F,CN0511300000000,Polk County,AR,0,T,326
F,CN0511500000000,Pope County,AR,0,T,327
F,CN0511700000000,Prairie County,AR,0,T,328
F,CN0511900000000,Pulaski County,AR,0,T,329
F,CN0512100000000,Randolph County,AR,0,T,330
F,CN0512300000000,St. Francis County,AR,0,T,331
F,CN0512500000000,Saline County,AR,0,T,332
F,CN0512700000000,Scott County,AR,0,T,333
F,CN0512900000000,Searcy County,AR,0,T,334
F,CN0513100000000,Sebastian County,AR,0,T,335
F,CN0513300000000,Sevier County,AR,0,T,336
F,CN0513500000000,Sharp County,AR,0,T,337
F,CN0513700000000,Stone County,AR,0,T,338
F,CN0513900000000,Union County,AR,0,T,339
F,CN0514100000000,Van Buren County,AR,0,T,340
F,CN0514300000000,Washington County,AR,0,T,341
F,CN0514500000000,White County,AR,0,T,342
F,CN0514700000000,Woodruff County,AR,0,T,343
F,CN0514900000000,Yell County,AR,0,T,344
F,CN0600100000000,Alameda County,CA,0,T,419
F,CN0600300000000,Alpine County,CA,0,T,420
F,CN0600500000000,Amador County,CA,0,T,421
F,CN0600700000000,Butte County,CA,0,T,422
F,CN0600900000000,Calaveras County,CA,0,T,423
F,CN0601100000000,Colusa County,CA,0,T,424
F,CN0601300000000,Contra Costa County,CA,0,T,425
F,CN0601500000000,Del Norte County,CA,0,T,426
F,CN0601700000000,El Dorado County,CA,0,T,427
F,CN0601900000000,Fresno County,CA,0,T,428
F,CN0602100000000,Glenn County,CA,0,T,429
F,CN0602300000000,Humboldt County,CA,0,T,430
F,CN0602500000000,Imperial County,CA,0,T,431
F,CN0602700000000,Inyo County,CA,0,T,432
F,CN0602900000000,Kern County,CA,0,T,433
F,CN0603100000000,Kings County,CA,0,T,434
F,CN0603300000000,Lake County,CA,0,T,435
F,CN0603500000000,Lassen County,CA,0,T,436
F,CN0603700000000,Los Angeles County,CA,0,T,437
F,CN0603900000000,Madera County,CA,0,T,438
F,CN0604100000000,Marin County,CA,0,T,439
F,CN0604300000000,Mariposa County,CA,0,T,440
F,CN0604500000000,Mendocino County,CA,0,T,441
F,CN0604700000000,Merced County,CA,0,T,442
F,CN0604900000000,Modoc County,CA,0,T,443
F,CN0605100000000,Mono County,CA,0,T,444
F,CN0605300000000,Monterey County,CA,0,T,445
F,CN0605500000000,Napa County,CA,0,T,446
F,CN0605700000000,Nevada County,CA,0,T,447
F,CN0605900000000,Orange County,CA,0,T,448
F,CN0606100000000,Placer County,CA,0,T,449
F,CN0606300000000,Plumas County,CA,0,T,450
F,CN0606500000000,Riverside County,CA,0,T,451
F,CN0606700000000,Sacramento County,CA,0,T,452
F,CN0606900000000,San Benito County,CA,0,T,453
F,CN0607100000000,San Bernardino County,CA,0,T,454
F,CN0607300000000,San Diego County,CA,0,T,455
F,CN0607500000000,San Francisco County/city,CA,0,T,456
F,CN0607700000000,San Joaquin County,CA,0,T,457
F,CN0607900000000,San Luis Obispo County,CA,0,T,458
F,CN0608100000000,San Mateo County,CA,0,T,459
F,CN0608300000000,Santa Barbara County,CA,0,T,460
F,CN0608500000000,Santa Clara County,CA,0,T,461
F,CN0608700000000,Santa Cruz County,CA,0,T,462
F,CN0608900000000,Shasta County,CA,0,T,463
F,CN0609100000000,Sierra County,CA,0,T,464
F,CN0609300000000,Siskiyou County,CA,0,T,465
F,CN0609500000000,Solano County,CA,0,T,466
F,CN0609700000000,Sonoma County,CA,0,T,467
F,CN0609900000000,Stanislaus County,CA,0,T,468
F,CN0610100000000,Sutter County,CA,0,T,469
F,CN0610300000000,Tehama County,CA,0,T,470
F,CN0610500000000,Trinity County,CA,0,T,471
F,CN0610700000000,Tulare County,CA,0,T,472
F,CN0610900000000,Tuolumne County,CA,0,T,473
F,CN0611100000000,Ventura County,CA,0,T,474
F,CN0611300000000,Yolo County,CA,0,T,475
F,CN0611500000000,Yuba County,CA,0,T,476
F,CN0800100000000,Adams County,CO,0,T,775
F,CN0800300000000,Alamosa County,CO,0,T,776
F,CN0800500000000,Arapahoe County,CO,0,T,777
F,CN0800700000000,Archuleta County,CO,0,T,778
F,CN0800900000000,Baca County,CO,0,T,779
F,CN0801100000000,Bent County,CO,0,T,780
F,CN0801300000000,Boulder County,CO,0,T,781
F,CN0801400000000,Broomfield County/city,CO,0,T,782
F,CN0801500000000,Chaffee County,CO,0,T,783
F,CN0801700000000,Cheyenne County,CO,0,T,784
F,CN0801900000000,Clear Creek County,CO,0,T,785
F,CN0802100000000,Conejos County,CO,0,T,786
F,CN0802300000000,Costilla County,CO,0,T,787
F,CN0802500000000,Crowley County,CO,0,T,788
F,CN0802700000000,Custer County,CO,0,T,789
F,CN0802900000000,Delta County,CO,0,T,790
F,CN0803100000000,Denver County/city,CO,0,T,791
F,CN0803300000000,Dolores County,CO,0,T,792
F,CN0803500000000,Douglas County,CO,0,T,793
F,CN0803700000000,Eagle County,CO,0,T,794
F,CN0803900000000,Elbert County,CO,0,T,795
F,CN0804100000000,El Paso County,CO,0,T,796
F,CN0804300000000,Fremont County,CO,0,T,797
F,CN0804500000000,Garfield County,CO,0,T,798
F,CN0804700000000,Gilpin County,CO,0,T,799
F,CN0804900000000,Grand County,CO,0,T,800
F,CN0805100000000,Gunnison County,CO,0,T,801
F,CN0805300000000,Hinsdale County,CO,0,T,802
F,CN0805500000000,Huerfano County,CO,0,T,803
F,CN0805700000000,Jackson County,CO,0,T,804
F,CN0805900000000,Jefferson County,CO,0,T,805
F,CN0806100000000,Kiowa County,CO,0,T,806
F,CN0806300000000,Kit Carson County,CO,0,T,807
F,CN0806500000000,Lake County,CO,0,T,808
F,CN0806700000000,La Plata County,CO,0,T,809
F,CN0806900000000,Larimer County,CO,0,T,810
F,CN0807100000000,Las Animas County,CO,0,T,811
F,CN0807300000000,Lincoln County,CO,0,T,812
F,CN0807500000000,Logan County,CO,0,T,813
F,CN0807700000000,Mesa County,CO,0,T,814
F,CN0807900000000,Mineral County,CO,0,T,815
F,CN0808100000000,Moffat County,CO,0,T,816
F,CN0808300000000,Montezuma County,CO,0,T,817
F,CN0808500000000,Montrose County,CO,0,T,818
F,CN0808700000000,Morgan County,CO,0,T,819
F,CN0808900000000,Otero County,CO,0,T,820
F,CN0809100000000,Ouray County,CO,0,T,821
F,CN0809300000000,Park County,CO,0,T,822
F,CN0809500000000,Phillips County,CO,0,T,823
F,CN0809700000000,Pitkin County,CO,0,T,824
F,CN0809900000000,Prowers County,CO,0,T,825
F,CN0810100000000,Pueblo County,CO,0,T,826
F,CN0810300000000,Rio Blanco County,CO,0,T,827
F,CN0810500000000,Rio Grande County,CO,0,T,828
F,CN0810700000000,Routt County,CO,0,T,829
F,CN0810900000000,Saguache County,CO,0,T,830
F,CN0811100000000,San Juan County,CO,0,T,831
F,CN0811300000000,San Miguel County,CO,0,T,832
F,CN0811500000000,Sedgwick County,CO,0,T,833
F,CN0811700000000,Summit County,CO,0,T,834
F,CN0811900000000,Teller County,CO,0,T,835
F,CN0812100000000,Washington County,CO,0,T,836
F,CN0812300000000,Weld County,CO,0,T,837
F,CN0812500000000,Yuma County,CO,0,T,838
F,CN0900100000000,Fairfield County,CT,0,T,893
F,CN0900300000000,Hartford County,CT,0,T,894
F,CN0900500000000,Litchfield County,CT,0,T,895
F,CN0900700000000,Middlesex County,CT,0,T,896
F,CN0900900000000,New Haven County,CT,0,T,897
F,CN0901100000000,New London County,CT,0,T,898
F,CN0901300000000,Tolland County,CT,0,T,899
F,CN0901500000000,Windham County,CT,0,T,900
F,CN1000100000000,Kent County,DE,0,T,1079
F,CN1000300000000,New Castle County,DE,0,T,1080
F,CN1000500000000,Sussex County,DE,0,T,1081
F,CN1100100000000,District of Columbia,DC,0,T,1091
F,CN1200100000000,Alachua County,FL,0,T,1134
F,CN1200300000000,Baker County,FL,0,T,1135
F,CN1200500000000,Bay County,FL,0,T,1136
F,CN1200700000000,Bradford County,FL,0,T,1137
F,CN1200900000000,Brevard County,FL,0,T,1138
F,CN1201100000000,Broward County,FL,0,T,1139
F,CN1201300000000,Calhoun County,FL,0,T,1140
F,CN1201500000000,Charlotte County,FL,0,T,1141
F,CN1201700000000,Citrus County,FL,0,T,1142
F,CN1201900000000,Clay County,FL,0,T,1143
F,CN1202100000000,Collier County,FL,0,T,1144
F,CN1202300000000,Columbia County,FL,0,T,1145
F,CN1202700000000,DeSoto County,FL,0,T,1146
F,CN1202900000000,Dixie County,FL,0,T,1147
F,CN1203100000000,Duval County,FL,0,T,1148
F,CN1203300000000,Escambia County,FL,0,T,1149
F,CN1203500000000,Flagler County,FL,0,T,1150
F,CN1203700000000,Franklin County,FL,0,T,1151
F,CN1203900000000,Gadsden County,FL,0,T,1152
F,CN1204100000000,Gilchrist County,FL,0,T,1153
F,CN1204300000000,Glades County,FL,0,T,1154
F,CN1204500000000,Gulf County,FL,0,T,1155
F,CN1204700000000,Hamilton County,FL,0,T,1156
F,CN1204900000000,Hardee County,FL,0,T,1157
F,CN1205100000000,Hendry County,FL,0,T,1158
F,CN1205300000000,Hernando County,FL,0,T,1159
F,CN1205500000000,Highlands County,FL,0,T,1160
F,CN1205700000000,Hillsborough County,FL,0,T,1161
F,CN1205900000000,Holmes County,FL,0,T,1162
F,CN1206100000000,Indian River County,FL,0,T,1163
F,CN1206300000000,Jackson County,FL,0,T,1164
F,CN1206500000000,Jefferson County,FL,0,T,1165
F,CN1206700000000,Lafayette County,FL,0,T,1166
F,CN1206900000000,Lake County,FL,0,T,1167
F,CN1207100000000,Lee County,FL,0,T,1168
F,CN1207300000000,Leon County,FL,0,T,1169
F,CN1207500000000,Levy County,FL,0,T,1170
F,CN1207700000000,Liberty County,FL,0,T,1171
F,CN1207900000000,Madison County,FL,0,T,1172
F,CN1208100000000,Manatee County,FL,0,T,1173
F,CN1208300000000,Marion County,FL,0,T,1174
F,CN1208500000000,Martin County,FL,0,T,1175
F,CN1208600000000,Miami-Dade County,FL,0,T,1176
F,CN1208700000000,Monroe County,FL,0,T,1177
F,CN1208900000000,Nassau County,FL,0,T,1178
F,CN1209100000000,Okaloosa County,FL,0,T,1179
F,CN1209300000000,Okeechobee County,FL,0,T,1180
F,CN1209500000000,Orange County,FL,0,T,1181
F,CN1209700000000,Osceola County,FL,0,T,1182
F,CN1209900000000,Palm Beach County,FL,0,T,1183
F,CN1210100000000,Pasco County,FL,0,T,1184
F,CN1210300000000,Pinellas County,FL,0,T,1185
F,CN1210500000000,Polk County,FL,0,T,1186
F,CN1210700000000,Putnam County,FL,0,T,1187
F,CN1210900000000,St. Johns County,FL,0,T,1188
F,CN1211100000000,St. Lucie County,FL,0,T,1189
F,CN1211300000000,Santa Rosa County,FL,0,T,1190
F,CN1211500000000,Sarasota County,FL,0,T,1191
F,CN1211700000000,Seminole County,FL,0,T,1192
F,CN1211900000000,Sumter County,FL,0,T,1193
F,CN1212100000000,Suwannee County,FL,0,T,1194
F,CN1212300000000,Taylor County,FL,0,T,1195
F,CN1212500000000,Union County,FL,0,T,1196
F,CN1212700000000,Volusia County,FL,0,T,1197
F,CN1212900000000,Wakulla County,FL,0,T,1198
F,CN1213100000000,Walton County,FL,0,T,1199
F,CN1213300000000,Washington County,FL,0,T,1200
F,CN1300100000000,Appling County,GA,0,T,1338
F,CN1300300000000,Atkinson County,GA,0,T,1339
F,CN1300500000000,Bacon County,GA,0,T,1340
F,CN1300700000000,Baker County,GA,0,T,1341
F,CN1300900000000,Baldwin County,GA,0,T,1342
F,CN1301100000000,Banks County,GA,0,T,1343
F,CN1301300000000,Barrow County,GA,0,T,1344
F,CN1301500000000,Bartow County,GA,0,T,1345
F,CN1301700000000,Ben Hill County,GA,0,T,1346
F,CN1301900000000,Berrien County,GA,0,T,1347
F,CN1302100000000,Bibb County,GA,0,T,1348
F,CN1302300000000,Bleckley County,GA,0,T,1349
F,CN1302500000000,Brantley County,GA,0,T,1350
F,CN1302700000000,Brooks County,GA,0,T,1351
F,CN1302900000000,Bryan County,GA,0,T,1352
F,CN1303100000000,Bulloch County,GA,0,T,1353
F,CN1303300000000,Burke County,GA,0,T,1354
F,CN1303500000000,Butts County,GA,0,T,1355
F,CN1303700000000,Calhoun County,GA,0,T,1356
F,CN1303900000000,Camden County,GA,0,T,1357
F,CN1304300000000,Candler County,GA,0,T,1358
F,CN1304500000000,Carroll County,GA,0,T,1359
F,CN1304700000000,Catoosa County,GA,0,T,1360
F,CN1304900000000,Charlton County,GA,0,T,1361
F,CN1305100000000,Chatham County,GA,0,T,1362
F,CN1305300000000,Chattahoochee County,GA,0,T,1363
F,CN1305500000000,Chattooga County,GA,0,T,1364
F,CN1305700000000,Cherokee County,GA,0,T,1365
F,CN1305900000000,Clarke County,GA,0,T,1366
F,CN1306100000000,Clay County,GA,0,T,1367
F,CN1306300000000,Clayton County,GA,0,T,1368
F,CN1306500000000,Clinch County,GA,0,T,1369
F,CN1306700000000,Cobb County,GA,0,T,1370
F,CN1306900000000,Coffee County,GA,0,T,1371
F,CN1307100000000,Colquitt County,GA,0,T,1372
F,CN1307300000000,Columbia County,GA,0,T,1373
F,CN1307500000000,Cook County,GA,0,T,1374
F,CN1307700000000,Coweta County,GA,0,T,1375
F,CN1307900000000,Crawford County,GA,0,T,1376
F,CN1308100000000,Crisp County,GA,0,T,1377
F,CN1308300000000,Dade County,GA,0,T,1378
F,CN1308500000000,Dawson County,GA,0,T,1379
F,CN1308700000000,Decatur County,GA,0,T,1380
F,CN1308900000000,DeKalb County,GA,0,T,1381
F,CN1309100000000,Dodge County,GA,0,T,1382
F,CN1309300000000,Dooly County,GA,0,T,1383
F,CN1309500000000,Dougherty County,GA,0,T,1384
F,CN1309700000000,Douglas County,GA,0,T,1385
F,CN1309900000000,Early County,GA,0,T,1386
F,CN1310100000000,Echols County,GA,0,T,1387
F,CN1310300000000,Effingham County,GA,0,T,1388
F,CN1310500000000,Elbert County,GA,0,T,1389
F,CN1310700000000,Emanuel County,GA,0,T,1390
F,CN1310900000000,Evans County,GA,0,T,1391
F,CN1311100000000,Fannin County,GA,0,T,1392
F,CN1311300000000,Fayette County,GA,0,T,1393
F,CN1311500000000,Floyd County,GA,0,T,1394
F,CN1311700000000,Forsyth County,GA,0,T,1395
F,CN1311900000000,Franklin County,GA,0,T,1396
F,CN1312100000000,Fulton County,GA,0,T,1397
F,CN1312300000000,Gilmer County,GA,0,T,1398
F,CN1312500000000,Glascock County,GA,0,T,1399
F,CN1312700000000,Glynn County,GA,0,T,1400
F,CN1312900000000,Gordon County,GA,0,T,1401
F,CN1313100000000,Grady County,GA,0,T,1402
F,CN1313300000000,Greene County,GA,0,T,1403
F,CN1313500000000,Gwinnett County,GA,0,T,1404
F,CN1313700000000,Habersham County,GA,0,T,1405
F,CN1313900000000,Hall County,GA,0,T,1406
F,CN1314100000000,Hancock County,GA,0,T,1407
F,CN1314300000000,Haralson County,GA,0,T,1408
F,CN1314500000000,Harris County,GA,0,T,1409
F,CN1314700000000,Hart County,GA,0,T,1410
F,CN1314900000000,Heard County,GA,0,T,1411
F,CN1315100000000,Henry County,GA,0,T,1412
F,CN1315300000000,Houston County,GA,0,T,1413
F,CN1315500000000,Irwin County,GA,0,T,1414
F,CN1315700000000,Jackson County,GA,0,T,1415
F,CN1315900000000,Jasper County,GA,0,T,1416
F,CN1316100000000,Jeff Davis County,GA,0,T,1417
F,CN1316300000000,Jefferson County,GA,0,T,1418
F,CN1316500000000,Jenkins County,GA,0,T,1419
F,CN1316700000000,Johnson County,GA,0,T,1420
F,CN1316900000000,Jones County,GA,0,T,1421
F,CN1317100000000,Lamar County,GA,0,T,1422
F,CN1317300000000,Lanier County,GA,0,T,1423
F,CN1317500000000,Laurens County,GA,0,T,1424
F,CN1317700000000,Lee County,GA,0,T,1425
F,CN1317900000000,Liberty County,GA,0,T,1426
F,CN1318100000000,Lincoln County,GA,0,T,1427
F,CN1318300000000,Long County,GA,0,T,1428
F,CN1318500000000,Lowndes County,GA,0,T,1429
F,CN1318700000000,Lumpkin County,GA,0,T,1430
F,CN1318900000000,McDuffie County,GA,0,T,1431
F,CN1319100000000,McIntosh County,GA,0,T,1432
F,CN1319300000000,Macon County,GA,0,T,1433
F,CN1319500000000,Madison County,GA,0,T,1434
F,CN1319700000000,Marion County,GA,0,T,1435
F,CN1319900000000,Meriwether County,GA,0,T,1436
F,CN1320100000000,Miller County,GA,0,T,1437
F,CN1320500000000,Mitchell County,GA,0,T,1438
F,CN1320700000000,Monroe County,GA,0,T,1439
F,CN1320900000000,Montgomery County,GA,0,T,1440
F,CN1321100000000,Morgan County,GA,0,T,1441
F,CN1321300000000,Murray County,GA,0,T,1442
F,CN1321500000000,Muscogee County,GA,0,T,1443
F,CN1321700000000,Newton County,GA,0,T,1444
F,CN1321900000000,Oconee County,GA,0,T,1445
F,CN1322100000000,Oglethorpe County,GA,0,T,1446
F,CN1322300000000,Paulding County,GA,0,T,1447
F,CN1322500000000,Peach County,GA,0,T,1448
F,CN1322700000000,Pickens County,GA,0,T,1449
F,CN1322900000000,Pierce County,GA,0,T,1450
F,CN1323100000000,Pike County,GA,0,T,1451
F,CN1323300000000,Polk County,GA,0,T,1452
F,CN1323500000000,Pulaski County,GA,0,T,1453
F,CN1323700000000,Putnam County,GA,0,T,1454
F,CN1323900000000,Quitman County,GA,0,T,1455
F,CN1324100000000,Rabun County,GA,0,T,1456
F,CN1324300000000,Randolph County,GA,0,T,1457
F,CN1324500000000,Richmond County,GA,0,T,1458
F,CN1324700000000,Rockdale County,GA,0,T,1459
F,CN1324900000000,Schley County,GA,0,T,1460
F,CN1325100000000,Screven County,GA,0,T,1461
F,CN1325300000000,Seminole County,GA,0,T,1462
F,CN1325500000000,Spalding County,GA,0,T,1463
F,CN1325700000000,Stephens County,GA,0,T,1464
F,CN1325900000000,Stewart County,GA,0,T,1465
F,CN1326100000000,Sumter County,GA,0,T,1466
F,CN1326300000000,Talbot County,GA,0,T,1467
F,CN1326500000000,Taliaferro County,GA,0,T,1468
F,CN1326700000000,Tattnall County,GA,0,T,1469
F,CN1326900000000,Taylor County,GA,0,T,1470
F,CN1327100000000,Telfair County,GA,0,T,1471
F,CN1327300000000,Terrell County,GA,0,T,1472
F,CN1327500000000,Thomas County,GA,0,T,1473
F,CN1327700000000,Tift County,GA,0,T,1474
F,CN1327900000000,Toombs County,GA,0,T,1475
F,CN1328100000000,Towns County,GA,0,T,1476
F,CN1328300000000,Treutlen County,GA,0,T,1477
F,CN1328500000000,Troup County,GA,0,T,1478
F,CN1328700000000,Turner County,GA,0,T,1479
F,CN1328900000000,Twiggs County,GA,0,T,1480
F,CN1329100000000,Union County,GA,0,T,1481
F,CN1329300000000,Upson County,GA,0,T,1482
F,CN1329500000000,Walker County,GA,0,T,1483
F,CN1329700000000,Walton County,GA,0,T,1484
F,CN1329900000000,Ware County,GA,0,T,1485
